,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5
61,机动车在道路上发生故障，需要停车排除时，驾驶人应该怎么办,开启近光灯或雾灯,将车停在道路中间,将车停到不妨碍交通的地方,就地停车排除故障,C,"answer: right
token: 105, 104, 1
time: 0.4s",,"answer: right
token: 105, 104, 1
time: 2.7s","answer: right
token: 101, 100, 1
time: 0.6s",,,"answer: right
token: 144, 140, 4
time: 2.7s","answer: right
token: 144, 140, 4
time: 1.0s","answer: right
token: 144, 140, 4
time: 2.7s"
62,行车中遇抢救伤员的救护车从本车道逆向驶来时，应怎样做,占用其他车道行驶,在原车道内继续行驶,加速变更车道避让,靠边减速或停车让行,D,"answer: right
token: 108, 107, 1
time: 0.4s",,"answer: right
token: 108, 107, 1
time: 2.6s","answer: right
token: 110, 109, 1
time: 0.5s",,,"answer: right
token: 141, 137, 4
time: 3.1s","answer: right
token: 141, 137, 4
time: 1.0s","answer: right
token: 141, 137, 4
time: 2.5s"
63,驾驶报废机动车上路行驶的驾驶人，除按规定罚款外，还要受到哪种处理,吊销驾驶证,撤销驾驶许可,强制恢复车况,收缴驾驶证,A,"answer: right
token: 101, 100, 1
time: 0.4s",,"answer: right
token: 101, 100, 1
time: 0.5s","answer: right
token: 101, 100, 1
time: 0.3s",,,"answer: right
token: 143, 139, 4
time: 2.2s","answer: right
token: 143, 139, 4
time: 0.9s","answer: right
token: 143, 139, 4
time: 2.7s"
64,同车道行驶的车辆前方遇到下列哪种车辆不得超车,大型客车,中型客车,超载大型货车,执行任务的消防车,D,"answer: right
token: 92, 91, 1
time: 0.4s",,"answer: right
token: 92, 91, 1
time: 1.1s","answer: right
token: 88, 87, 1
time: 0.5s",,,"answer: right
token: 121, 117, 4
time: 2.2s","answer: right
token: 121, 117, 4
time: 0.9s","answer: right
token: 121, 117, 4
time: 2.6s"
65,驾驶机动车下陡坡、转弯、掉头时，最高速度不能超过多少,50公里/小时,40公里/小时,60公里/小时,30公里/小时,D,"answer: right
token: 111, 103, 8
time: 0.5s",,"answer: right
token: 104, 103, 1
time: 0.8s","answer: right
token: 101, 100, 1
time: 0.6s",,,"answer: right
token: 128, 124, 4
time: 2.4s","answer: right
token: 128, 124, 4
time: 0.7s","answer: right
token: 128, 124, 4
time: 2.7s"
66,当您即将通过交叉路口的时候，才意识到要左转而不是向前，以下说法正确的是什么,以上说法都不正确,继续向前行驶,停在交叉路口，等待安全时左转,在确保安全的情况下，倒车然后左转,B,"answer: right
token: 118, 111, 7
time: 0.4s",,"answer: right
token: 112, 111, 1
time: 0.8s","answer: wrong (C)
token: 107, 106, 1
time: 0.6s",,,"answer: right
token: 157, 153, 4
time: 2.4s","answer: right
token: 157, 153, 4
time: 0.9s","answer: right
token: 157, 153, 4
time: 2.7s"
67,行车中遇有非机动车准备绕过停放的车辆时，应怎样做,鸣喇叭示意其让道,紧随其后鸣喇叭,加速绕过,让其先行,D,"answer: right
token: 102, 101, 1
time: 0.3s",,"answer: right
token: 102, 101, 1
time: 0.8s","answer: right
token: 100, 99, 1
time: 0.6s",,,"answer: right
token: 133, 129, 4
time: 2.4s","answer: right
token: 133, 129, 4
time: 1.0s","answer: right
token: 133, 129, 4
time: 2.5s"
68,下列哪种证件是驾驶机动车上路行驶应当随车携带,机动车登记证,出厂合格证明,机动车行驶证,机动车保险单,C,"answer: right
token: 90, 89, 1
time: 0.3s",,"answer: right
token: 90, 89, 1
time: 0.7s","answer: right
token: 93, 92, 1
time: 0.6s",,,"answer: right
token: 124, 120, 4
time: 2.4s","answer: right
token: 124, 120, 4
time: 1.0s","answer: right
token: 124, 120, 4
time: 2.5s"
69,驾驶的车辆正在被其他车辆超越时，应怎样做,继续加速行驶,靠道路中心行驶,减速，靠右侧行驶,加速让路,C,"answer: right
token: 99, 98, 1
time: 0.3s",,"answer: right
token: 99, 98, 1
time: 0.7s","answer: right
token: 90, 89, 1
time: 0.6s",,,"answer: right
token: 128, 124, 4
time: 2.2s","answer: right
token: 128, 124, 4
time: 0.9s","answer: right
token: 128, 124, 4
time: 2.6s"
70,周某驾驶一辆轻型厢式货车（搭载22人）行驶对丙察公路79公里加150米处时，坠入道路一侧山崖，造成12人死亡、10人受伤。周某的主要违法行为是什么,超速行驶,驾驶逾期未检验的机动车,货运机动车载客,疲劳驾驶,C,"answer: right
token: 148, 139, 9
time: 0.4s",,"answer: right
token: 140, 139, 1
time: 0.5s","answer: right
token: 138, 137, 1
time: 0.6s",,,"answer: right
token: 186, 182, 4
time: 2.3s","answer: right
token: 404, 182, 222
time: 2.8s","answer: right
token: 186, 182, 4
time: 2.4s"
71,已注册登记的小型载客汽车有下列哪种情形，所有人不需要办理变更登记,改变车身颜色,更换车身或者车架,加装前后防撞装置,机动车更换发动机,C,"answer: right
token: 106, 98, 8
time: 0.4s",,"answer: right
token: 99, 98, 1
time: 1.3s","answer: right
token: 98, 97, 1
time: 0.7s",,,"answer: right
token: 138, 134, 4
time: 3.1s","answer: right
token: 138, 134, 4
time: 1.2s","answer: right
token: 138, 134, 4
time: 2.8s"
72,行车中遇儿童时，应怎样做,迅速从一侧通过,长鸣喇叭催促,加速绕行,减速慢行，必要时停车避让,D,"answer: right
token: 98, 97, 1
time: 0.3s",,"answer: right
token: 98, 97, 1
time: 0.4s","answer: right
token: 93, 92, 1
time: 0.6s",,,"answer: right
token: 124, 120, 4
time: 2.8s","answer: right
token: 124, 120, 4
time: 0.9s","answer: right
token: 124, 120, 4
time: 1.7s"
73,驾驶机动车通过窄路、窄桥时，最高速度不能超过多少,50公里/小时,30公里/小时,60公里/小时,40公里/小时,B,"answer: right
token: 102, 101, 1
time: 0.3s",,"answer: right
token: 102, 101, 1
time: 0.7s","answer: right
token: 98, 97, 1
time: 0.6s",,,"answer: right
token: 125, 121, 4
time: 2.7s","answer: right
token: 125, 121, 4
time: 1.0s","answer: right
token: 125, 121, 4
time: 2.3s"
74,对驾驶拼装机动车上路行驶的驾驶人，会受到下列哪种处罚,处200以上2000元以下罚款,依法追究刑事责任,吊销机动车行驶证,处15日以下拘留,A,"answer: right
token: 105, 104, 1
time: 0.4s",,"answer: right
token: 105, 104, 1
time: 0.8s","answer: right
token: 112, 111, 1
time: 0.5s",,,"answer: wrong (D)
token: 145, 141, 4
time: 2.4s","answer: right
token: 145, 141, 4
time: 0.7s","answer: right
token: 145, 141, 4
time: 1.8s"
75,下长坡时，控制车速除了刹车制动以外还有什么有效的辅助方法,利用发动机制动,挂入空挡滑行,踏下离合器滑行,关闭发动机熄火滑行,A,"answer: right
token: 105, 104, 1
time: 0.3s",,"answer: right
token: 105, 104, 1
time: 1.8s","answer: right
token: 100, 99, 1
time: 0.6s",,,"answer: right
token: 140, 136, 4
time: 2.5s","answer: right
token: 140, 136, 4
time: 0.9s","answer: right
token: 140, 136, 4
time: 2.5s"
76,3年内有下列哪种行为的人不得申请机动车驾驶证,注射胰岛素,酒醉经历,注射毒品,吸烟成瘾,C,"answer: right
token: 93, 88, 5
time: 0.3s",,"answer: right
token: 89, 88, 1
time: 0.6s","answer: right
token: 89, 88, 1
time: 0.9s",,,"answer: right
token: 123, 119, 4
time: 2.3s","answer: wrong (B)
token: 123, 119, 4
time: 1.0s","answer: right
token: 123, 119, 4
time: 2.1s"
77,车辆驶入双向行驶隧道前，应开启什么灯,远光灯,示廓灯或近光灯,雾灯,危险报警闪光灯,B,"answer: right
token: 95, 94, 1
time: 0.3s",,"answer: right
token: 95, 94, 1
time: 0.7s","answer: right
token: 91, 90, 1
time: 0.7s",,,"answer: right
token: 122, 118, 4
time: 2.5s","answer: right
token: 122, 118, 4
time: 1.3s","answer: right
token: 122, 118, 4
time: 2.5s"
78,行车中遇老年人骑自行车时，应,临近时鸣喇叭示意其让道,提前鸣喇叭，减速避让,迅速绕过,紧随其后行驶,B,"answer: right
token: 99, 98, 1
time: 0.3s",,"answer: right
token: 99, 98, 1
time: 0.6s","answer: right
token: 98, 97, 1
time: 0.4s",,,"answer: right
token: 131, 127, 4
time: 2.3s","answer: right
token: 131, 127, 4
time: 0.7s","answer: right
token: 131, 127, 4
time: 2.4s"
79,发现前方道路堵塞，正确的做法是什么,继续穿插绕行,按顺序停车等候,选择空当逐车超越,鸣喇叭示意前方车辆快速行驶,B,"answer: right
token: 97, 96, 1
time: 0.3s",,"answer: right
token: 97, 96, 1
time: 1.4s","answer: right
token: 91, 90, 1
time: 0.6s",,,"answer: right
token: 135, 131, 4
time: 2.3s","answer: right
token: 135, 131, 4
time: 0.8s","answer: right
token: 135, 131, 4
time: 2.5s"
80,车辆在交叉路口有优先通行权的，遇有车辆抢行时，应怎样做,减速避让，必要时停车让行,提前加速通过,按优先权规定正常行驶不予避让,抢行通过,A,"answer: right
token: 112, 111, 1
time: 0.3s",,"answer: right
token: 112, 111, 1
time: 0.8s","answer: right
token: 106, 105, 1
time: 0.6s",,,"answer: right
token: 143, 139, 4
time: 3.2s","answer: right
token: 143, 139, 4
time: 0.9s","answer: right
token: 143, 139, 4
time: 2.4s"
81,某日13时10分，罗某驾驶一辆中型客车从高速公路0公里处出发，下午14时10分行至该高速公路125公里加200米处时，发生追尾碰撞，机动车驶出西南侧路外边坡，造成11人死亡、2人受伤。罗某的主要违法行为是什么,超速行驶,客车超员,疲劳驾驶,不按交通标线行驶,A,"answer: wrong (C)
token: 162, 155, 7
time: 0.3s",,"answer: right
token: 156, 155, 1
time: 0.7s","answer: right
token: 157, 156, 1
time: 0.6s",,,"answer: wrong (B)
token: 477, 202, 275
time: 6.1s","answer: right
token: 523, 202, 321
time: 3.8s","answer: right
token: 332, 202, 130
time: 4.9s"
82,驾驶机动车在进出非机动车道时，最高速度不能超过多少,60公里/小时,30公里/小时,50公里/小时,40公里/小时,B,"answer: right
token: 108, 100, 8
time: 0.3s",,"answer: right
token: 101, 100, 1
time: 0.6s","answer: right
token: 100, 99, 1
time: 0.6s",,,"answer: right
token: 123, 119, 4
time: 2.3s","answer: right
token: 123, 119, 4
time: 1.0s","answer: right
token: 123, 119, 4
time: 2.3s"
83,下雨后路面湿滑，车辆行驶中紧急制动时，容易导致什么,发生侧滑、引发交通事故,引起发动机熄火,不被其他车辆驾驶人发现,因视线模糊而撞车,A,"answer: right
token: 103, 102, 1
time: 0.3s",,"answer: right
token: 103, 102, 1
time: 0.7s","answer: right
token: 101, 100, 1
time: 0.7s",,,"answer: right
token: 148, 144, 4
time: 2.4s","answer: right
token: 148, 144, 4
time: 0.9s","answer: right
token: 148, 144, 4
time: 2.6s"
84,在实习期内驾驶机动车的，应当在车身后部粘贴或者悬挂哪种标志,统一式样的实习标志,注意新手标志,注意避让标志,注意车距标志,A,"answer: right
token: 95, 94, 1
time: 0.3s",,"answer: right
token: 95, 94, 1
time: 2.2s","answer: right
token: 94, 93, 1
time: 0.6s",,,"answer: right
token: 135, 131, 4
time: 2.7s","answer: right
token: 135, 131, 4
time: 0.9s","answer: right
token: 135, 131, 4
time: 3.5s"
85,当驾驶车辆行经两侧有非机动车行驶且有积水的路面时，应怎样做,正常行驶,连续鸣喇叭,加速通过,减速慢行,D,"answer: right
token: 102, 95, 7
time: 0.3s",,"answer: right
token: 96, 95, 1
time: 1.3s","answer: right
token: 95, 94, 1
time: 0.5s",,,"answer: right
token: 130, 126, 4
time: 2.6s","answer: right
token: 130, 126, 4
time: 1.6s","answer: right
token: 130, 126, 4
time: 2.6s"
86,大雾天行车，多鸣喇叭是为了什么,催促前车让行,催促前车提速，避免发生追尾,引起对方注意，避免发生危险,准备超越前车,C,"answer: right
token: 103, 102, 1
time: 0.3s",,"answer: right
token: 103, 102, 1
time: 4.9s","answer: right
token: 100, 99, 1
time: 0.6s",,,"answer: right
token: 131, 127, 4
time: 2.4s","answer: right
token: 131, 127, 4
time: 1.2s","answer: right
token: 131, 127, 4
time: 2.5s"
87,驾驶人出现下列哪种情况，不得驾驶机动车,驾驶证丢失、损毁,驾驶证接近有效期,记分达到10分,记分达到6分,A,"answer: right
token: 101, 100, 1
time: 0.2s",,"answer: right
token: 101, 100, 1
time: 1.2s","answer: right
token: 95, 94, 1
time: 0.5s",,,"answer: right
token: 130, 126, 4
time: 2.2s","answer: right
token: 130, 126, 4
time: 0.8s","answer: right
token: 130, 126, 4
time: 2.4s"
88,驾驶机动车遇到有漫水路时，要采取的正确做法是什么？a停车察明水情；b确认安全后，低速通过；c机动车涉水后，间断轻踏制动踏板；d机动车涉水后，持续轻踏制动踏板,bc,abc,cd,bcd,B,"answer: right
token: 127, 124, 3
time: 0.2s",,"answer: right
token: 125, 124, 1
time: 0.6s","answer: right
token: 128, 127, 1
time: 0.6s",,,"answer: right
token: 163, 159, 4
time: 2.7s","answer: wrong (A)
token: 479, 159, 320
time: 3.0s","answer: wrong (A)
token: 365, 159, 206
time: 4.5s"
89,机动车发生碰撞时座椅安全带主要作用是什么,保护驾乘人员腰部,保护驾乘人员胸部,保护驾乘人员颈部,减轻驾乘人员伤害,D,"answer: right
token: 95, 94, 1
time: 0.3s",,"answer: right
token: 95, 94, 1
time: 0.7s","answer: right
token: 95, 94, 1
time: 0.8s",,,"answer: right
token: 140, 136, 4
time: 2.4s","answer: right
token: 140, 136, 4
time: 0.9s","answer: right
token: 140, 136, 4
time: 1.7s"
90,行车中遇到对向来车占道行驶，应怎样做,紧靠道路中心行驶,用大灯警示对方,主动给对方让行,逼对方靠右行驶,C,"answer: right
token: 100, 99, 1
time: 0.2s",,"answer: right
token: 100, 99, 1
time: 1.9s","answer: right
token: 95, 94, 1
time: 0.5s",,,"answer: right
token: 129, 125, 4
time: 3.2s","answer: right
token: 129, 125, 4
time: 1.1s","answer: right
token: 129, 125, 4
time: 2.4s"
91,水淹路面影响行车安全，不易通行的原因是什么,路面附着力增大,能见度低，视野模糊,日光反射阻挡视线,无法观察到暗坑和凸起的路面,D,"answer: right
token: 103, 102, 1
time: 0.2s",,"answer: right
token: 103, 102, 1
time: 1.2s","answer: right
token: 101, 100, 1
time: 0.6s",,,"answer: right
token: 137, 133, 4
time: 2.3s","answer: right
token: 137, 133, 4
time: 0.7s","answer: right
token: 137, 133, 4
time: 1.7s"
92,驾驶拼装机动车上路行驶的驾驶人，除按规定接受罚款外，还要受到哪种处理,追究刑事责任,吊销驾驶证,暂扣驾驶证,处10日以下拘留,B,"answer: right
token: 108, 102, 6
time: 0.2s",,"answer: right
token: 103, 102, 1
time: 0.7s","answer: wrong (D)
token: 106, 105, 1
time: 0.4s",,,"answer: right
token: 146, 142, 4
time: 3.1s","answer: right
token: 146, 142, 4
time: 1.0s","answer: right
token: 146, 142, 4
time: 1.6s"
93,机动车在设有最高限速标志的道路上行驶时,按规定的最高车速行驶,可以超过车辆的最高设计时速,不得超过标明的最高时速,允许超过标明最高时速的10%,C,"answer: right
token: 108, 107, 1
time: 0.5s",,"answer: right
token: 108, 107, 1
time: 0.5s","answer: right
token: 104, 103, 1
time: 0.8s",,,"answer: right
token: 141, 137, 4
time: 2.5s","answer: right
token: 141, 137, 4
time: 0.8s","answer: right
token: 141, 137, 4
time: 2.5s"
94,驾驶人行车中看到注意儿童标志的时候，应怎样做,加速行驶,保持正常车速行驶,谨慎选择行车速度,绕道行驶,C,"answer: right
token: 95, 94, 1
time: 0.2s",,"answer: right
token: 95, 94, 1
time: 2.7s","answer: right
token: 90, 89, 1
time: 0.7s",,,"answer: right
token: 128, 124, 4
time: 2.5s","answer: right
token: 128, 124, 4
time: 1.2s","answer: right
token: 128, 124, 4
time: 2.4s"
95,在堵车的交叉路口绿灯亮时，车辆应怎样做,可直接驶入交叉路口,可借对向车道通过路口,在保证安全的情况下驶入交叉路口,不能驶入交叉路口,D,"answer: wrong (C)
token: 103, 102, 1
time: 0.3s",,"answer: right
token: 103, 102, 1
time: 2.5s","answer: wrong (C)
token: 102, 101, 1
time: 0.3s",,,"answer: right
token: 146, 142, 4
time: 3.0s","answer: right
token: 146, 142, 4
time: 0.8s","answer: right
token: 146, 142, 4
time: 2.5s"
96,驾驶汽车怎样向左安全变更车道？a观察左侧道路情况；b打开左转向灯；c不得影响正常通行车辆；d迅速向左变道,abcd,bc,bcd,abc,D,"answer: right
token: 104, 101, 3
time: 0.3s",,"answer: right
token: 102, 101, 1
time: 3.7s","answer: right
token: 99, 98, 1
time: 0.6s",,,"answer: right
token: 134, 130, 4
time: 2.3s","answer: wrong (B)
token: 399, 130, 269
time: 2.7s","answer: right
token: 134, 130, 4
time: 2.2s"
97,在以下路段不能倒车的是什么,交叉路口,隧道,以上皆是,急弯,C,"answer: right
token: 86, 80, 6
time: 0.4s",,"answer: right
token: 81, 80, 1
time: 2.8s","answer: right
token: 76, 75, 1
time: 0.6s",,,"answer: right
token: 102, 98, 4
time: 2.5s","answer: right
token: 102, 98, 4
time: 1.0s","answer: right
token: 102, 98, 4
time: 1.5s"
98,机动车经（）登记后，方可上道路行驶。,公安机关交通管理部门,道路运输管理机构,法务部门,工商部门,A,"answer: right
token: 92, 91, 1
time: 0.2s",,"answer: right
token: 92, 91, 1
time: 1.6s","answer: right
token: 88, 87, 1
time: 0.5s",,,"answer: right
token: 117, 113, 4
time: 2.9s","answer: right
token: 117, 113, 4
time: 0.8s","answer: right
token: 117, 113, 4
time: 1.6s"
99,在一般道路倒车时，若发现有过往车辆通过，应怎样做,加速倒车,鸣喇叭示意,主动停车避让,继续倒车,C,"answer: right
token: 95, 94, 1
time: 0.2s",,"answer: right
token: 95, 94, 1
time: 0.7s","answer: right
token: 90, 89, 1
time: 0.7s",,,"answer: right
token: 124, 120, 4
time: 2.1s","answer: right
token: 124, 120, 4
time: 0.7s","answer: right
token: 124, 120, 4
time: 4.1s"
100,牵引发生故障的机动车时，最高车速不得超过多少,20公里/小时,50公里/小时,30公里/小时,40公里/小时,C,"answer: right
token: 104, 96, 8
time: 0.3s",,"answer: right
token: 97, 96, 1
time: 0.5s","answer: right
token: 97, 96, 1
time: 0.7s",,,"answer: right
token: 119, 115, 4
time: 2.6s","answer: right
token: 119, 115, 4
time: 0.9s","answer: right
token: 119, 115, 4
time: 2.4s"
101,夜间道路环境对安全行车的主要影响是什么,路面复杂多变,能见度低、不利于观察道路交通情况,驾驶人体力下降,驾驶人易产生冲动、幻觉,B,"answer: right
token: 105, 104, 1
time: 0.2s",,"answer: right
token: 105, 104, 1
time: 1.9s","answer: right
token: 98, 97, 1
time: 0.6s",,,"answer: right
token: 140, 136, 4
time: 2.6s","answer: right
token: 140, 136, 4
time: 0.8s","answer: right
token: 140, 136, 4
time: 2.4s"
102,驾驶机动车通过没有交通信号的交叉路口怎样行驶,左侧车辆先行,减速慢行,加速通过,大型车先行,B,"answer: right
token: 91, 90, 1
time: 0.2s",,"answer: right
token: 91, 90, 1
time: 0.7s","answer: right
token: 86, 85, 1
time: 0.6s",,,"answer: right
token: 121, 117, 4
time: 2.8s","answer: right
token: 121, 117, 4
time: 0.9s","answer: right
token: 121, 117, 4
time: 4.7s"
103,冰雪道路对安全行车的主要影响是什么,制动性能差，方向易跑偏,行驶阻力增大,能见度降低，视野模糊,电器设备易受潮短路,A,"answer: right
token: 100, 99, 1
time: 0.3s",,"answer: right
token: 100, 99, 1
time: 2.6s","answer: right
token: 96, 95, 1
time: 0.4s",,,"answer: right
token: 133, 129, 4
time: 2.3s","answer: right
token: 133, 129, 4
time: 0.9s","answer: right
token: 133, 129, 4
time: 1.6s"
104,佟某驾驶一辆大客车（乘载54人，核载55人）行至太原境内以45公里的时速通过一处泥泞路段时，机动车侧滑驶出路外坠入深沟，导致14人死亡、40人受伤。佟某的主要违法行为是什么,超速行驶,疲劳驾驶,客车超员,酒后驾驶,A,"answer: right
token: 143, 142, 1
time: 0.2s",,"answer: right
token: 143, 142, 1
time: 1.3s","answer: right
token: 144, 143, 1
time: 0.5s",,,"answer: right
token: 385, 188, 197
time: 6.4s","answer: right
token: 488, 188, 300
time: 3.3s","answer: right
token: 192, 188, 4
time: 1.7s"
105,制动踏板是（）的操纵装置，用以减速或停车。,驻车制动器,行车制动器,离合器,变速器,B,"answer: right
token: 96, 95, 1
time: 0.3s",,"answer: right
token: 96, 95, 1
time: 1.1s","answer: right
token: 93, 92, 1
time: 0.7s",,,"answer: right
token: 112, 108, 4
time: 2.3s","answer: right
token: 182, 108, 74
time: 1.2s","answer: right
token: 112, 108, 4
time: 2.1s"
106,下长坡连续使用行车制动会导致什么,会使制动器温度升高而使制动效果急剧下降,容易造成车辆倾翻,会缩短发动机寿命,增加驾驶人的劳动强度,A,"answer: right
token: 100, 99, 1
time: 0.2s",,"answer: right
token: 100, 99, 1
time: 2.8s","answer: right
token: 99, 98, 1
time: 0.6s",,,"answer: right
token: 143, 139, 4
time: 2.4s","answer: right
token: 221, 139, 82
time: 1.4s","answer: right
token: 143, 139, 4
time: 2.6s"
107,机动车驾驶人造成事故后逃逸构成犯罪的，吊销驾驶证且多长时间不得重新取得驾驶证,20年内,10年内,5年内,终生,D,"answer: right
token: 100, 95, 5
time: 0.3s",,"answer: right
token: 96, 95, 1
time: 0.6s","answer: wrong (B)
token: 99, 98, 1
time: 0.6s",,,"answer: right
token: 132, 128, 4
time: 2.4s","answer: right
token: 132, 128, 4
time: 0.7s","answer: right
token: 132, 128, 4
time: 2.4s"
108,驾驶人在驾驶证有效期满前多长时间申请换证,60日内,30日内,90日内,6个月内,C,"answer: right
token: 93, 87, 6
time: 0.3s",,"answer: right
token: 88, 87, 1
time: 0.5s","answer: wrong (B)
token: 88, 87, 1
time: 0.6s",,,"answer: right
token: 109, 105, 4
time: 2.3s","answer: right
token: 109, 105, 4
time: 1.4s","answer: right
token: 109, 105, 4
time: 2.3s"
109,驾驶车辆驶入铁路道口前减速降挡，进入道口后应怎样做,可以变换挡位,可换为高挡,不能变换挡位,停车观察,C,"answer: right
token: 103, 102, 1
time: 0.2s",,"answer: right
token: 103, 102, 1
time: 1.4s","answer: right
token: 93, 92, 1
time: 0.6s",,,"answer: right
token: 128, 124, 4
time: 2.4s","answer: right
token: 128, 124, 4
time: 0.7s","answer: right
token: 128, 124, 4
time: 1.6s"
110,在暴雨天气驾车，刮水器无法刮净雨水时，应当,立即减速靠边停驶,集中注意力谨慎驾驶,以正常速度行驶,减速行驶,A,"answer: right
token: 99, 98, 1
time: 0.2s",,"answer: right
token: 99, 98, 1
time: 1.4s","answer: right
token: 95, 94, 1
time: 0.6s",,,"answer: right
token: 135, 131, 4
time: 2.5s","answer: right
token: 135, 131, 4
time: 1.0s","answer: right
token: 135, 131, 4
time: 2.7s"
111,行车中遇有前方发生交通事故，需要帮助时，应怎样做,尽量绕道躲避,立即报警，停车观望,加速通过，不予理睬,协助保护现场，并立即报警,D,"answer: right
token: 105, 104, 1
time: 0.2s",,"answer: right
token: 105, 104, 1
time: 0.6s","answer: right
token: 101, 100, 1
time: 0.6s",,,"answer: right
token: 139, 135, 4
time: 2.5s","answer: right
token: 139, 135, 4
time: 0.7s","answer: right
token: 139, 135, 4
time: 1.7s"
112,驾驶机动车需要在路边停车时怎样选择停车地点,在人行道上停放,在路边随意停放,靠左侧路边逆向停放,在停车泊位内停放,D,"answer: right
token: 97, 96, 1
time: 0.2s",,"answer: right
token: 97, 96, 1
time: 0.7s","answer: right
token: 100, 99, 1
time: 0.7s",,,"answer: right
token: 131, 127, 4
time: 2.7s","answer: right
token: 131, 127, 4
time: 0.7s","answer: right
token: 131, 127, 4
time: 2.4s"
113,驾驶机动车行经下列哪种路段不得超车,高架路,人行横道,环城高速,主要街道,B,"answer: right
token: 89, 88, 1
time: 0.3s",,"answer: right
token: 89, 88, 1
time: 2.6s","answer: right
token: 84, 83, 1
time: 0.6s",,,"answer: right
token: 107, 103, 4
time: 3.3s","answer: right
token: 107, 103, 4
time: 0.8s","answer: right
token: 107, 103, 4
time: 2.7s"
114,驾驶机动车下陡坡时不得有哪些危险行为,空挡滑行,制动减速,低挡行驶,提前减挡,A,"answer: right
token: 90, 89, 1
time: 0.2s",,"answer: right
token: 90, 89, 1
time: 1.6s","answer: right
token: 84, 83, 1
time: 0.6s",,,"answer: right
token: 116, 112, 4
time: 2.3s","answer: right
token: 116, 112, 4
time: 0.9s","answer: right
token: 116, 112, 4
time: 2.6s"
115,未取得驾驶证的学员在道路上学习驾驶技能，下列哪种做法是正确的,使用所学车型的教练车由教练员随车指导,使用私家车由教练员随车指导,使用所学车型的教练车单独驾驶学习,使用所学车型的教练车由非教练员的驾驶人随车指导,A,"answer: right
token: 126, 125, 1
time: 0.2s",,"answer: right
token: 126, 125, 1
time: 1.7s","answer: right
token: 125, 124, 1
time: 0.6s",,,"answer: right
token: 181, 177, 4
time: 3.1s","answer: right
token: 263, 177, 86
time: 1.2s","answer: right
token: 181, 177, 4
time: 2.9s"
116,山区道路对安全行车的主要影响是什么,交通情况单一,坡长弯急，视距不足,道路标志少,车流密度大,B,"answer: right
token: 95, 94, 1
time: 0.2s",,"answer: right
token: 95, 94, 1
time: 1.3s","answer: right
token: 87, 86, 1
time: 0.6s",,,"answer: right
token: 116, 112, 4
time: 2.9s","answer: right
token: 116, 112, 4
time: 0.7s","answer: right
token: 116, 112, 4
time: 2.7s"
117,在山区道路遇对向来车时，应怎样会车,不减速,减速或停车让行,紧靠道路中心,加速,B,"answer: right
token: 90, 89, 1
time: 0.2s",,"answer: right
token: 90, 89, 1
time: 1.4s","answer: right
token: 87, 86, 1
time: 0.7s",,,"answer: right
token: 111, 107, 4
time: 2.8s","answer: right
token: 111, 107, 4
time: 0.7s","answer: right
token: 111, 107, 4
time: 1.6s"
118,机动车在道路上发生故障，难以移动时下列做法正确的是什么,禁止车上人员下车,在车前方设置警告标志,开启车上所有灯光,开启危险报警闪光灯,D,"answer: right
token: 98, 97, 1
time: 0.2s",,"answer: right
token: 98, 97, 1
time: 1.1s","answer: right
token: 99, 98, 1
time: 0.6s",,,"answer: right
token: 138, 134, 4
time: 2.7s","answer: right
token: 138, 134, 4
time: 0.8s","answer: right
token: 138, 134, 4
time: 2.4s"
119,高速行车中行车制动突然失灵时，驾驶人要如何制动,迅速拉紧驻车制动器操纵杆,连续踩踏制动踏板,抢挂低速挡减速后，使用驻车制动,迅速踏下离合器踏板,C,"answer: right
token: 118, 117, 1
time: 0.3s",,"answer: right
token: 118, 117, 1
time: 1.2s","answer: right
token: 120, 119, 1
time: 0.7s",,,"answer: right
token: 158, 154, 4
time: 2.7s","answer: right
token: 158, 154, 4
time: 0.7s","answer: right
token: 158, 154, 4
time: 2.5s"
120,公安机关交通管理部门对（）的机动车，经县级以上公安机关交通管理部门批准后，予以收缴并强制报废。,交通肇事,检验未合格,超过10年使用期,扣留的拼装或达到报废标准,D,"answer: right
token: 114, 113, 1
time: 0.2s",,"answer: right
token: 114, 113, 1
time: 1.0s","answer: right
token: 116, 115, 1
time: 0.7s",,,"answer: right
token: 151, 147, 4
time: 2.6s","answer: right
token: 151, 147, 4
time: 1.0s","answer: right
token: 151, 147, 4
time: 1.8s"
121,提供虚假材料申领驾驶证的申请人会承担下列哪种法律责任,处20元以上200元以下罚款,1年内不得再次申领驾驶证,2年内不能再次申领驾驶证,取消申领驾驶证资格,B,"answer: right
token: 108, 107, 1
time: 0.2s",,"answer: wrong (D)
token: 108, 107, 1
time: 4.2s","answer: wrong (D)
token: 114, 113, 1
time: 0.6s",,,"answer: right
token: 153, 149, 4
time: 2.4s","answer: wrong (C)
token: 153, 149, 4
time: 0.7s","answer: right
token: 153, 149, 4
time: 2.3s"
