,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5
81,"5. (5 分) 小敏打开计算机时，忘记了开机密码的前两位，只记得第一位是 M, I, $\mathrm{N}$ 中的一个字母, 第二位是 $1,2,3,4,5$ 中的一个数字, 则小敏输人一 次密码能够成功开机的概率是（）",$\frac{8}{15}$,$\frac{1}{8}$,$\frac{1}{15}$,$\frac{1}{30}$,C,,,,"answer: wrong (A)
token: 479, 159, 320
time: 1.9s",,,,,
82,"6. (5 分) 若 $\tan \theta=\frac{1}{3}$, 则 $\cos 2 \theta=(\quad)$",$-\frac{4}{5}$,$-\frac{1}{5}$,$\frac{1}{5}$,$\frac{4}{5}$,D,,,,"answer: wrong (A)
token: 113, 112, 1
time: 1.2s",,,,,
83,"7. (5 分) 已知 $a=2^{\frac{4}{3}}, b=3^{\frac{2}{3}}, c=25^{\frac{1}{3}}$, 则 ( )",$b<a<c$,$a<b<c$,$b<c<a$,$c<a<b$,A,,,,"answer: right
token: 616, 127, 489
time: 2.8s",,,,,
84,"9. (5 分) 在 $\triangle A B C$ 中, $B=\frac{\pi}{4}, B C$ 边上的高等于 $\frac{1}{3} B C$, 则 $\sin A=(\quad)$",$\frac{3}{10}$,$\frac{\sqrt{10}}{10}$,$\frac{\sqrt{5}}{5}$,$\frac{3 \sqrt{10}}{10}$,D,,,,"answer: wrong (A)
token: 3143, 146, 2997
time: 10.4s",,,,,
85,"11. (5 分) 在封闭的直三棱柱 $A B C-\mathrm{A}_{1} B_{1} C_{1}$ 内有一个体积为 $\mathrm{V}$ 的球, 若 $A B \perp$ $\mathrm{BC}, \mathrm{AB}=6, \mathrm{BC}=8, A A_{1}=3$, 则 $V$ 的最大值是 $(\quad)$",$4 \pi$,$\frac{9 \pi}{2}$,$6 \pi$,$\frac{32 \pi}{3}$,B,,,,"answer: wrong (A)
token: 175, 174, 1
time: 1.0s",,,,,
86,"12. (5 分) 已知 $O$ 为坐标原点, $F$ 是椭圆 $C: \frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1 \quad(a>b>0)$ 的左焦点, $A, B$ 分别为 $C$ 的左, 右顶点. $P$ 为 $C$ 上一点, 且 $P F \perp x$ 轴, 过点 $A$ 的直线 $I$ 与线段 $P F$ 交于点 $M$, 与 $y$ 轴交于点 $E$. 若直线 $B M$ 经过 $O E$ 的中点, 则 $C$ 的离心率为 $(\quad)$",$\frac{1}{3}$,$\frac{1}{2}$,$\frac{2}{3}$,$\frac{3}{4}$,A,,,,"answer: wrong (B)
token: 247, 246, 1
time: 1.0s",,,,,
87,"1. （5 分）已知集合 $A=\{x \mid x<2\}, B=\{x \mid 3-2 x>0\}$, 则（）",$A \cap B=\left\{x \mid x<\frac{3}{2}\right\}$,$A \cap B=\varnothing$,$A \cup B=\left\{\mathbf{x} \mid \mathbf{x}<\frac{3}{2}\right\}$,$A \cup B=R$,A,,,,"answer: right
token: 896, 154, 742
time: 2.9s",,,,,
88,"2. (5 分) 为评估一种农作物的种植效果, 选了 $\mathrm{n}$ 块地作试验田. 这 $\mathrm{n}$ 块地的 亩产量 (单位: $\mathrm{kg}$ ) 分别是 $x_{1}, x_{2}, \ldots, x_{n}$, 下面给出的指标中可以用来评估 这种农作物亩产量稳定程度的是（ $)$","$\mathrm{x}_{1}, \mathrm{x}_{2}, \ldots, \mathrm{x}_{\mathrm{n}}$ 的平均数","$x_{1}, x_{2}, \ldots, x_{n}$ 的标准差","$\mathrm{x}_{1}, \mathrm{x}_{2}, \ldots, \mathrm{x}_{\mathrm{n}}$ 的最大值","$x_{1}, x_{2}, \ldots, x_{n}$ 的中位数",B,,,,"answer: right
token: 243, 242, 1
time: 0.7s",,,,,
89,3. (5 分) 下列各式的运算结果为纯虚数的是（ ）,$i(1+i)^{2}$,$i^{2}(1-i)$,$(1+\mathrm{i})^{2}$,$i(1+i)$,C,,,,"answer: wrong (A)
token: 110, 109, 1
time: 0.8s",,,,,
90,"11. (5 分) $\triangle A B C$ 的内角 $A, B, C$ 的对边分别为 $a, b, c$, 已知 $\sin B+\sin A$ ( $\sin C-\cos C)=0, a=2, \quad c=\sqrt{2}$, 则 $C=(\quad)$",$\frac{\pi}{12}$,$\frac{\pi}{6}$,$\frac{\pi}{4}$,$\frac{\pi}{3}$,B,,,,"answer: right
token: 5011, 156, 4855
time: 16.5s",,,,,
91,"1. （5 分） 设集合 $A=\{1,2,3\}, B=\{2,3,4\}$, 则 $A \cup B=（ ）$","$\{1,2,3,4\}$","$\{1,2,3\}$","$\{2,3,4\}$","$\{1,3,4\}$",A,,,,"answer: right
token: 123, 122, 1
time: 0.8s",,,,,
92,2. $(5$ 分 $)(1+i)(2+i)=(\quad)$,$1-\mathrm{i}$,$1+3 i$,$3+i$,$3+3 i$,B,,,,"answer: wrong (D)
token: 99, 98, 1
time: 0.8s",,,,,
93,3. (5 分) 函数 $f(x)=\sin \left(2 x+\frac{\pi}{3}\right)$ 的最小正周期为（ $)$,$4 \pi$,$2 \pi$,$\pi$,$\frac{\pi}{2}$,C,,,,"answer: right
token: 111, 110, 1
time: 0.8s",,,,,
94,"4. (5 分) 设非零向量 $\vec{a}, \vec{b}$ 满足 $|\vec{a}+\vec{b}|=|\vec{a}-\vec{b}|$ 则（）",$\vec{a} \perp \vec{b}$,$|\overrightarrow{\mathrm{a}}|=|\overrightarrow{\mathrm{b}}|$,$\vec{a} / / \vec{b}$,$|\vec{a}|>|\vec{b}|$,A,,,,"answer: right
token: 152, 151, 1
time: 1.3s",,,,,
95,"5.（5 分）若 $a>1$, 则双曲线 $\frac{x^{2}}{a^{2}}-y^{2}=1$ 的离心率的取值范围是（ ）","$(\sqrt{2},+\infty)$","$(\sqrt{2}, 2)$","$(1, \sqrt{2})$","$(1,2)$",C,,,,"answer: wrong (A)
token: 629, 128, 501
time: 1.9s",,,,,
96,8. （5 分）函数 $f(x)=\ln \left(x^{2}-2 x-8 ）\right.$ 的单调递增区间是（ $)$,"$(-\infty,-2)$","$(-\infty,-1)$","$(1,+\infty)$","$(4,+\infty)$",D,,,,"answer: right
token: 986, 115, 871
time: 3.2s",,,,,
97,"9. （5 分）甲、乙、丙、丁四位同学一起去问老师询问成语竞赛的成绩. 老师 说: 你们四人中有 2 位优秀, 2 位良好, 我现在给甲看乙、丙的成绩, 给乙看 丙的成绩, 给丁看甲的成绩. 看后甲对大家说：我还是不知道我的成绩. 根 据以上信息，则（）",乙可以知道四人的成绩,丁可以知道四人的成绩,乙、丁可以知道对方的成绩,乙、丁可以知道自己的成绩,D,,,,"answer: right
token: 182, 181, 1
time: 1.0s",,,,,
98,"11. (5 分) 从分别写有 $1,2,3,4,5$ 的 5 张卡片中随机抽取 1 张, 放回后再 随机抽取 1 张, 则抽得的第一张卡片上的数大于第二张卡片上的数的概率为（",$\frac{1}{10}$,$\frac{1}{5}$,$\frac{3}{10}$,$\frac{2}{5}$,D,,,,"answer: wrong (A)
token: 876, 150, 726
time: 3.4s",,,,,
99,"12. (5 分) 过抛物线 $C: y^{2}=4 x$ 的焦点 $F$, 且斜率为 $\sqrt{3}$ 的直线交 $C$ 于点 $M(M$ 在 $x$ 轴上方), 1 为 $C$ 的准线, 点 $N$ 在 $I$ 上, 且 $M N \perp 1$, 则 $M$ 到直线 $N F$ 的距 离为 $(\quad)$",$\sqrt{5}$,$2 \sqrt{2}$,$2 \sqrt{3}$,$3 \sqrt{3}$,C,,,,"answer: wrong (A)
token: 1100, 186, 914
time: 4.9s",,,,,
100,"1. (5 分) 已知集合 $A=\{1,2,3,4\}, B=\{2,4,6,8\}$, 则 $A \cap B$ 中元素的个 数为 ( )",1,2,3,4,B,,,,"answer: right
token: 109, 108, 1
time: 1.3s",,,,,
101,2. (5 分) 复平面内表示复数 $\mathrm{z}=\mathrm{i}(-2+\mathrm{i})$ 的点位于 $(\quad)$,第一象限,第二象限,第三象限,第四象限,C,,,,"answer: right
token: 103, 102, 1
time: 0.8s",,,,,
102,"4. (5 分) 已知 $\sin a-\cos a=\frac{4}{3}$, 则 $\sin 2 a=(\quad)$",$-\frac{7}{9}$,$-\frac{2}{9}$,$\frac{2}{9}$,$\frac{7}{9}$,A,,,,"answer: right
token: 115, 114, 1
time: 0.6s",,,,,
103,6. (5 分) 函数 $f(x)=\frac{1}{5} \sin \left(x+\frac{\pi}{3}\right)+\cos \left(x-\frac{\pi}{6}\right)$ 的最大值为 $($ ),$\frac{6}{5}$,1,$\frac{3}{5}$,$\frac{1}{5}$,A,,,,"answer: right
token: 132, 131, 1
time: 1.5s",,,,,
104,"11. (5 分) 已知椭圆 C: $\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)$ 的左、右顶点分别为 $A_{1}, A_{2}$, 且以线段 $A_{1} A_{2}$ 为直径的圆与直线 $b x-a y+2 a b=0$ 相切, 则 $C$ 的离心率为",$\frac{\sqrt{6}}{3}$,$\frac{\sqrt{3}}{3}$,$\frac{\sqrt{2}}{3}$,$\frac{1}{3}$,A,,,,"answer: wrong (C)
token: 1101, 191, 910
time: 3.3s",,,,,
105,"12. (5 分) 已知函数 $f(x)=x^{2}-2 x+a\left(e^{x-1}+e^{-x+1}\right)$ 有唯一零点, 则 $a=(\quad)$",$-\frac{1}{2}$,$\frac{1}{3}$,$\frac{1}{2}$,"1

\section{",C,,,,"answer: right
token: 135, 134, 1
time: 2.0s",,,,,
106,"1. （5 分）已知集合 $A=\{0,2\}, B=\{-2,-1,0,1,2\}$, 则 $A \cap B=(）$","$\{0,2\}$","$\{1,2\}$",$\{0\}$,"$\{-2,-1,0,1,2\}$",A,,,,"answer: right
token: 119, 118, 1
time: 1.5s",,,,,
107,"2. （5 分）设 $z=\frac{1-i}{1+i}+2 i$, 则 $|z|=(\quad)$",0,$\frac{1}{2}$,1,$\sqrt{2}$,C,,,,"answer: wrong (A)
token: 570, 102, 468
time: 3.5s",,,,,
108,"4. (5 分) 已知椭圆 $C: \frac{x^{2}}{a^{2}}+\frac{y^{2}}{4}=1$ 的一个焦点为 $(2,0)$, 则 $C$ 的离心率为 ( )",$\frac{1}{3}$,$\frac{1}{2}$,$\frac{\sqrt{2}}{2}$,$\frac{2 \sqrt{2}}{3}$,C,,,,"answer: right
token: 804, 143, 661
time: 3.0s",,,,,
109,"5. (5 分) 已知圆柱的上、下底面的中心分别为 $\mathrm{O}_{1}, \mathrm{O}_{2}$, 过直线 $\mathrm{O}_{1} \mathrm{O}_{2}$ 的平面截 该圆柱所得的截面是面积为 8 的正方形，则该圆柱的表面积为（）",$12 \sqrt{2} \pi$,$12 \pi$,$8 \sqrt{2} \pi$,$10 \pi$,B,,,,"answer: wrong (A)
token: 1199, 165, 1034
time: 2.9s",,,,,
110,"6. （5 分) 设函数 $f(x)=x^{3}+(a-1) x^{2}+a x$. 若 $f(x)$ 为奇函数, 则曲线 $y=f($ $x)$ 在点 $(0,0)$ 处的切线方程为 $(\quad)$",$y=-2 x$,$y=-x$,$y=2 x$,$y=x$,D,,,,"answer: wrong (A)
token: 935, 143, 792
time: 3.7s",,,,,
111,"7. (5 分) 在 $\triangle A B C$ 中, $A D$ 为 $B C$ 边上的中线, $E$ 为 $A D$ 的中点, 则 $\overrightarrow{E B}=(\quad)$",$\frac{3}{4} \overrightarrow{\mathrm{AB}}-\frac{1}{4} \overrightarrow{\mathrm{AC}}$,$\frac{1}{4} \overrightarrow{\mathrm{AB}}-\frac{3}{4} \overrightarrow{\mathrm{AC}}$,$\frac{3}{4} \overrightarrow{\mathrm{AB}}+\frac{1}{4} \overrightarrow{\mathrm{AC}}$,$\frac{1}{4} \overrightarrow{\mathrm{AB}}+\frac{3}{4} \overrightarrow{\mathrm{AC}}$,A,,,,"answer: right
token: 793, 215, 578
time: 2.2s",,,,,
112,"8. （5 分）已知函数 $f(x)=2 \cos ^{2} x-\sin ^{2} x+2$, 则 $(\quad)$","$f(x)$ 的最小正周期为 $\pi$, 最大值为 3","$f(x)$ 的最小正周期为 $\pi$, 最大值为 4","$f(x)$ 的最小正周期为 $2 \pi$, 最大值为 3","$f(x)$ 的最小正周期为 $2 \pi$, 最大值为 4",B,,,,"answer: wrong (A)
token: 997, 161, 836
time: 2.3s",,,,,
113,"11. (5 分) 已知角 $\alpha$ 的顶点为坐标原点, 始边与 $\mathrm{x}$ 轴的非负半轴重合, 终边上 有两点 $A(1, a), B(2, b)$, 且 $\cos 2 \alpha=\frac{2}{3}$, 则 $|a-b|=(\quad)$",$\frac{1}{5}$,$\frac{\sqrt{5}}{5}$,$\frac{2 \sqrt{5}}{5}$,1,B,,,,"answer: wrong (A)
token: 992, 168, 824
time: 5.3s",,,,,
114,1. $(5$ 分 $) i(2+3 i)=(\quad)$,$3-2 i$,$3+2 i$,$-3-2 i$,$-3+2 i$,D,,,,"answer: right
token: 97, 96, 1
time: 1.1s",,,,,
115,"2. （5 分）已知集合 $A=\{1,3,5,7\}, B=\{2,3,4,5\}$, 则 $A \cap B=(\quad)$",$\{3\}$,$\{5\}$,"$\{3,5\}$","$\{1,2,3,4,5,7\}$",C,,,,"answer: right
token: 119, 118, 1
time: 0.8s",,,,,
116,"4. (5 分) 已知向量 $\vec{a}, \vec{b}$ 满足 $|\vec{a}|=1, \vec{a} \cdot \vec{b}=-1$, 则 $\vec{a} \cdot(2 \vec{a}-\vec{b})=(\quad)$",4,3,2,0,B,,,,"answer: wrong (C)
token: 129, 128, 1
time: 0.6s",,,,,
117,"5. (5 分) 从 2 名男同学和 3 名女同学中任选 2 人参加社区服务, 则选中的 2 人都是女同学的概率为 $(\quad)$",0.6,0.5,0.4,0.3,D,,,,"answer: wrong (C)
token: 116, 115, 1
time: 1.0s",,,,,
118,"6. (5 分) 双曲线 $\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$ 的离心率为 $\sqrt{3}$, 则其渐近线方程为",$y= \pm \sqrt{2} x$,$y= \pm \sqrt{3} x$,$y= \pm \frac{\sqrt{2}}{2} x$,$y= \pm \frac{\sqrt{3}}{2} x$,A,,,,"answer: wrong (D)
token: 168, 167, 1
time: 1.1s",,,,,
119,"7. (5 分) 在 $\triangle A B C$ 中, $\cos \frac{C}{2}=\frac{\sqrt{5}}{5}, B C=1, A C=5$, 则 $A B=（ ）$",$4 \sqrt{2}$,$\sqrt{30}$,$\sqrt{29}$,$2 \sqrt{5}$,A,,,,"answer: wrong (C)
token: 133, 132, 1
time: 1.1s",,,,,
120,"10. （5 分）若 $f(x)=\cos x-\sin x$ 在 $[0, a]$ 是减函数, 则 $a$ 的最大值是 $(\quad)$",$\frac{\pi}{4}$,$\frac{\pi}{2}$,$\frac{3 \pi}{4}$,$\pi$,C,,,,"answer: right
token: 123, 122, 1
time: 0.8s",,,,,
121,"12. (5 分) 已知 $f(x)$ 是定义域为 $(-\infty,+\infty)$ 的奇函数, 满足 $f(1-x)=f($ $1+x)$, 若 $f(1)=2$, 则 $f(1)+f(2)+f(3)+\ldots+f(50)=(\quad)$",-50,0,2,50,C,,,,"answer: wrong (A)
token: 4268, 141, 4127
time: 9.2s",,,,,
122,"1. (5 分) 已知集合 $A=\{x \mid x-1 \geqslant 0\}, B=\{0,1,2\}$, 则 $A \cap B=(\quad)$",$\{0\}$,$\{1\}$,"$\{1,2\}$","$\{0,1,2\}$",C,,,,"answer: right
token: 115, 114, 1
time: 1.0s",,,,,
123,2. $(5$ 分 $)(1+i)(2-i)=(\quad)$,$-3-i$,$-3+i$,$3-i$,$3+i$,D,,,,"answer: wrong (B)
token: 95, 94, 1
time: 0.8s",,,,,
124,"4. (5 分) 若 $\sin a=\frac{1}{3}$, 则 $\cos 2 a=(\quad)$",$\frac{8}{9}$,$\frac{7}{9}$,$-\frac{7}{9}$,$-\frac{8}{9}$,B,,,,"answer: wrong (A)
token: 111, 110, 1
time: 0.6s",,,,,
125,"5. (5 分) 若某群体中的成员只用现金支付的概率为 0.45 , 既用现金支付也用非 现金支付的概率为 0.15 , 则不用现金支付的概率为 $($ )",0.3,0.4,0.6,0.7,B,,,,"answer: wrong (C)
token: 126, 125, 1
time: 1.4s",,,,,
126,6. (5 分) 函数 $\mathrm{f}(\mathrm{x})=\frac{\tan x}{1+\tan ^{2} \mathrm{x}}$ 的最小正周期为 $(\quad)$,$\frac{\pi}{4}$,$\frac{\pi}{2}$,$\pi$,$2 \pi$,C,,,,"answer: right
token: 119, 118, 1
time: 0.7s",,,,,
127,"7. (5 分) 下列函数中, 其图象与函数 $y=\ln x$ 的图象关于直线 $\mathrm{x}=1$ 对称的是 ( )",$y=\ln (1-x)$,$y=\ln (2-x)$,$y=\ln (1+x)$,$y=\ln (2+x)$,B,,,,"answer: wrong (C)
token: 1043, 131, 912
time: 3.0s",,,,,
128,"8. (5 分) 直线 $x+y+2=0$ 分别与 $x$ 轴, $y$ 轴交于 $A, B$ 两点, 点 $P$ 在圆 $(x-2)$ ${ }^{2}+y^{2}=2$ 上，则 $\triangle A B P$ 面积的取值范围是（）","$[2,6]$","$[4,8]$","$[\sqrt{2}, 3 \sqrt{2}]$","$[2 \sqrt{2}, 3 \sqrt{2}]$",A,,,,"answer: right
token: 991, 172, 819
time: 3.9s",,,,,
129,"10. (5 分) 已知双曲线 $C: \frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$ 的离心率为 $\sqrt{2}$, 则点 $(4$,

0) 到 C 的渐近线的距离为 $(\quad)$",$\sqrt{2}$,2,$\frac{3 \sqrt{2}}{2}$,$2 \sqrt{2}$,D,,,,"answer: wrong (B)
token: 155, 154, 1
time: 1.6s",,,,,
130,"11. (5 分) $\triangle A B C$ 的内角 $A, B, C$ 的对边分别为 $a, b, C$. 若 $\triangle A B C$ 的面积 为 $\frac{a^{2}+b^{2}-c^{2}}{4}$, 则 $C=(\quad)$",$\frac{\pi}{2}$,$\frac{\pi}{3}$,$\frac{\pi}{4}$,$\frac{\pi}{6}$,C,,,,"answer: wrong (A)
token: 683, 151, 532
time: 2.8s",,,,,
131,"1. 设 $z=\frac{3-\mathrm{i}}{1+2 \mathrm{i}}$, 则 $|z|=$",2,$\sqrt{3}$,$\sqrt{2}$,1,C,,,,"answer: wrong (D)
token: 99, 98, 1
time: 0.6s",,,,,
132,"2. 已知集合 $U=\{1,2,3,4,5,6,7\}, A=\{2,3,4,5\}, B=\{2,3,6,7\}$, 则 $B \cap C_{U} A$","$\{1,6\}$","$\{1,7\}$","$\{6,7\}$","$\{1,6,7\}$",C,,,,"answer: wrong (B)
token: 506, 131, 375
time: 1.9s",,,,,
133,"3.已知 $a=\log _{2} 0.2, b=2^{0.2}, c=0.2^{0.3}$ ，则",$a<b<c$,$a<c<b$,$c<a<b$,$b<c<a$,B,,,,"answer: wrong (A)
token: 2992, 119, 2873
time: 12.6s",,,,,
134,"6. 某学校为了解 1000 名新生的身体素质, 将这些学生编号为 $1,2, \cdots, 1000$, 从这些新 生中用系统抽样方法等距抽取 100 名学生进行体质测验, 若 46 号学生被抽到, 则下面 4 名 学生中被抽到的是",8 号学生,200 号学生,616 号学生,"815 号

学生",C,,,,"answer: right
token: 163, 162, 1
time: 0.8s",,,,,
135,7.tan $255^{\circ}=$,$-2-\sqrt{3}$,$-2+\sqrt{3}$,$2-\sqrt{3}$,$2+\sqrt{3}$,D,,,,"answer: right
token: 95, 94, 1
time: 1.9s",,,,,
136,"8.已知非零向量 $\boldsymbol{a}, \boldsymbol{b}$ 满足 $|a|=2|b|$, 且 $(\boldsymbol{a}-\boldsymbol{b}) \perp \boldsymbol{b}$, 则 $\boldsymbol{a}$ 与 $\boldsymbol{b}$ 的夹角为",$\frac{\pi}{6}$,$\frac{\pi}{3}$,$\frac{2 \pi}{3}$,$\frac{5 \pi}{6}$,B,,,,"answer: right
token: 148, 147, 1
time: 1.5s",,,,,
137,"10. 双曲线 $C: \frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$ 的 一条渐近线的倾斜角为 $130^{\circ}$, 则 $\mathrm{C}$ 的离心率为",$2 \sin 40^{\circ}$,$2 \cos 40^{\circ}$,$\frac{1}{\sin 50^{\circ}}$,$\frac{1}{\cos 50^{\circ}}$,D,,,,"answer: wrong (C)
token: 1155, 166, 989
time: 3.9s",,,,,
138,"11. $\triangle A B C$ 的内角 $A, B, C$ 的对边分别为 $a, b, c$, 已知 $a \sin A-b \sin B=4 c \sin C, \cos A=-\frac{1}{4}$, 则 $\frac{b}{c}=$",6,5,4,3,A,,,,"answer: wrong (C)
token: 132, 131, 1
time: 1.4s",,,,,
139,"1.已知集合 $A=\{x \mid x>-1\}, B=\{x \mid x<2\}$, 则 $A \cap B=$","$(-1,+\infty)$","$(-\infty, 2)$","$(-1,2)$",$\varnothing$,C,,,,"answer: right
token: 107, 106, 1
time: 1.2s",,,,,
140,2. 设 $z=\mathrm{i}(2+\mathrm{i})$ ，则 $\bar{z}=$,$1+2 \mathrm{i}$,$-1+2 \mathrm{i}$,$1-2 \mathrm{i}$,$-1-2 \mathrm{i}$,D,,,,"answer: wrong (A)
token: 389, 116, 273
time: 1.7s",,,,,
141,"3.已知向量 $\boldsymbol{a}=(2,3), \boldsymbol{b}=(3,2)$, 则 $|\boldsymbol{a}-\boldsymbol{b}|=$",$\sqrt{2}$,2,$5 \sqrt{2}$,50,A,,,,"answer: right
token: 107, 106, 1
time: 0.7s",,,,,
142,"4. 生物实验室有 5 只兔子, 其中只有 3 只测量过某项指标, 若从这 5 只兔子中随机取出 3 只, 则恰有 2 只测量过该指标的概率为",$\frac{2}{3}$,$\frac{3}{5}$,$\frac{2}{5}$,$\frac{1}{5}$,B,,,,"answer: wrong (C)
token: 134, 133, 1
time: 1.4s",,,,,
143,"5. 在 “一带一路” 知识测验后, 甲、乙、丙三人对成绩进行预测.

甲: 我的成绩比乙高.

乙: 丙的成绩比我和甲的都高.

丙: 我的成绩比乙高.

成绩公布后, 三人成绩互不相同且只有一个人预测正确，那么三人按成绩由高到低的次 序为",甲、乙、丙,乙、甲、丙,丙、乙、甲,甲、丙、乙,A,,,,"answer: wrong (C)
token: 164, 163, 1
time: 1.4s",,,,,
144,"6. 设 $f(x)$ 为奇函数, 且当 $x \geq 0$ 时, $f(x)=e^{x}-1$, 则当 $x<0$ 时, $f(x)=$",$e^{-x}-1$,$\mathrm{e}^{-x}+1$,$-\mathrm{e}^{-x}-1$,$-\mathrm{e}^{-x}+1$,D,,,,"answer: right
token: 141, 140, 1
time: 1.9s",,,,,
145,"7. 设 $\alpha, \beta$ 为两个平面, 则 $\alpha / / \beta$ 的充要条件是",$\alpha$ 内有无数条直线与 $\beta$ 平行,$\alpha$ 内有两条相交直线与 $\beta$ 平行,"$\alpha, \beta$ 平行于同一条直线","$\alpha, \beta$ 垂直于同一平面",B,,,,"answer: right
token: 136, 135, 1
time: 4.0s",,,,,
146,"8. 若 $x_{1}=\frac{\pi}{4}, x_{2}=\frac{3 \pi}{4}$ 是函数 $f(x)=\sin \omega x(\omega>0)$ 两个相邻的极值点, 则 $\omega=$",2,$\frac{3}{2}$,1,$\frac{1}{2}$,A,,,,"answer: right
token: 129, 128, 1
time: 1.0s",,,,,
147,"9. 若抛物线 $y^{2}=2 p x \quad(p>0)$ 的焦点是椭圆 $\frac{x^{2}}{3 p}+\frac{y^{2}}{p}=1$ 的一个焦点, 则 $p=$",2,3,4,8,D,,,,"answer: wrong (A)
token: 780, 118, 662
time: 4.6s",,,,,
148,"10.曲线 $y=2 \sin x+\cos x$ 在点 $(\pi,-1)$ 处的切线方程为",$x-y-\pi-1=0$,$2 x-y-2 \pi-1=0$,$2 x+y-2 \pi+1=0$,$x+y-\pi+1=0$,C,,,,"answer: wrong (D)
token: 653, 134, 519
time: 2.8s",,,,,
149,"11.已知 $a \in\left(0, \frac{\pi}{2}\right), 2 \sin 2 \alpha=\cos 2 \alpha+1$, 则 $\sin \alpha=$",$\frac{1}{5}$,$\frac{\sqrt{5}}{5}$,$\frac{\sqrt{3}}{3}$,$\frac{2 \sqrt{5}}{5}$,B,,,,"answer: right
token: 138, 137, 1
time: 1.3s",,,,,
150,"1.已知集合 $A=\{-1,0,1,2\}, B=\left\{x \mid x^{2} \leq 1\right\}$, 则 $A \cap B=(\quad)$","$\{-1,0,1\}$","$\{0,1\}$","$\{-1,1\}$","$\{0,1,2\}$",A,,,,"answer: wrong (B)
token: 126, 125, 1
time: 1.0s",,,,,
151,2. 若 $z(1+\mathrm{i})=2 \mathrm{i}$ ，则 $z=(\quad)$,$-1-\mathrm{i}$,$-1+\mathrm{i}$,$1-\mathrm{i}$,$1+\mathrm{i}$,D,,,,"answer: wrong (A)
token: 588, 109, 479
time: 2.3s",,,,,
152,"3.两位男同学和两位女同学随机排成一列, 则两位女同学相邻的概率是（）",$\frac{1}{6}$,$\frac{1}{4}$,$\frac{1}{3}$,$\frac{1}{2}$,D,,,,"answer: wrong (C)
token: 110, 109, 1
time: 0.9s",,,,,
153,"4. 《西游记》《三国演义》《水淓传》和《红楼梦》是中国古典文学瑰宝, 并称为中国古典小 说四大名著.某中学为了解本校学生阅读四大名著的情况, 随机调查了 100 学生, 其中阅读 过《西游记》或《红楼梦》的学生共有 90 位, 阅读过《红楼梦》的学生共有 80 位, 阅读过 《西游记》且阅读过《红楼梦》的学生共有 60 位, 则该校阅读过《西游记》的学生人数与 该校学生总数比值的估计值为（）",0.5,0.6,0.7,0.8,C,,,,"answer: wrong (D)
token: 216, 215, 1
time: 0.9s",,,,,
154,"5. 函数 $f(x)=2 \sin x-\sin 2 x$ 在 $[0,2 \pi]$ 的零点个数为 $(\quad)$",2,3,4,5,B,,,,"answer: wrong (C)
token: 99, 98, 1
time: 0.6s",,,,,
155,"6. 已知各项均为正数的等比数列 $\left\{a_{n}\right\}$ 的前 4 项和为 15 , 且 $a_{5}=3 a_{3}+4 a_{1}$, 则 $a_{3}=(\quad)$",16,8,4,2,C,,,,"answer: wrong (A)
token: 1124, 121, 1003
time: 4.0s",,,,,
156,"7. 已知曲线 $y=a \mathrm{e}^{x}+x \ln x$ 在点 $(1, a e)$ 处的切线方程为 $y=2 x+b$, 则 ( )","$a=e, b=-1$","$a=e, b=1$","$a=e^{-1}, b=1$","$a=e^{-1}, b=-1$",D,,,,"answer: wrong (A)
token: 1003, 142, 861
time: 3.8s",,,,,
157,"10.已知 $F$ 是双曲线 $C: \frac{x^{2}}{4}-\frac{y^{2}}{5}=1$ 的一个焦点, 点 $P$ 在 $C$ 上, $O$ 为坐标原点, 若 $|O P|=|O F|$, 则 $\triangle O P F$ 的面积为 $($ ）",$\frac{3}{2}$,$\frac{5}{2}$,$\frac{7}{2}$,$\frac{9}{2}$,B,,,,"answer: right
token: 159, 158, 1
time: 1.3s",,,,,
158,"12. 设 $f(x)$ 是定义域为 $R$ 的偶函数, 且在 $(0,+\infty)$ 单调递减, 则 $(\quad)$",$f\left(\log _{5} \frac{1}{4}\right)>f\left(2^{-\frac{3}{2}}\right)>f\left(2^{-\frac{2}{3}}\right)$,$f\left(\log _{8} \frac{1}{4}\right)>f\left(2^{-\frac{2}{3}}\right)>f\left(2^{-\frac{3}{2}}\right)$,$f\left(2^{-\frac{3}{2}}\right)>f\left(2^{-\frac{2}{3}}\right)>f\left(\log _{5} \frac{1}{4}\right)$,$f\left(2^{-\frac{2}{3}}\right)>f\left(2^{-\frac{3}{2}}\right)>f\left(\log _{5} \frac{1}{4}\right)$,C,,,,"answer: wrong (A)
token: 4746, 278, 4468
time: 10.2s",,,,,
